Sales Person,Country,Product,Date,Amount,Boxes Shipped,Boxes Shipped_normalized,Country_Australia,Country_Canada,Country_India,Country_New Zealand,Country_UK,Country_USA
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,"$4,284 ",94,0.13135593220338984,True,False,False,False,False,False
Karlen McCaffrey,UK,Almond Choco,2022-06-30,"$6,839 ",133,0.1864406779661017,False,False,False,False,True,False
Andria Kimpton,Canada,After Nines,2022-05-11,"$2,163 ",70,0.09745762711864407,False,True,False,False,False,False
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,"$9,583 ",315,0.4435028248587571,False,False,False,False,False,True
Andria Kimpton,UK,50% Dark Bites,2022-08-24,"$2,653 ",314,0.442090395480226,False,False,False,False,True,False
Kelci Walkden,New Zealand,After Nines,2022-07-07,$147 ,72,0.10028248587570622,False,False,False,True,False,False
Camilla Castle,Australia,85% Dark Bars,2022-05-19,"$3,654 ",14,0.018361581920903956,True,False,False,False,False,False
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,"$2,443 ",581,0.8192090395480226,False,False,True,False,False,False
Kelci Walkden,USA,After Nines,2022-06-02,$938 ,16,0.0211864406779661,False,False,False,False,False,True
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,"$14,749 ",354,0.4985875706214689,False,False,False,False,False,True
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,"$4,781 ",241,0.3389830508474576,False,True,False,False,False,False
Andria Kimpton,India,Spicy Special Slims,2022-02-23,"$6,307 ",142,0.19915254237288135,False,False,True,False,False,False
Madelene Upcott,Canada,Almond Choco,2022-08-22,"$7,602 ",102,0.1426553672316384,False,True,False,False,False,False
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,"$6,790 ",188,0.2641242937853107,False,False,False,False,False,True
Van Tuxwell,USA,50% Dark Bites,2022-01-13,"$9,737 ",160,0.2245762711864407,False,False,False,False,False,True
Curtice Advani,Australia,Milk Bars,2022-02-14,"$6,979 ",18,0.02401129943502825,True,False,False,False,False,False
Roddy Speechley,India,Eclairs,2022-06-10,"$4,382 ",303,0.4265536723163842,False,False,True,False,False,False
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,"$5,243 ",176,0.24717514124293785,False,False,True,False,False,False
Curtice Advani,Canada,Almond Choco,2022-03-24,"$4,865 ",70,0.09745762711864407,False,True,False,False,False,False
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,"$8,575 ",23,0.031073446327683617,True,False,False,False,False,False
Dotty Strutley,Australia,Drinking Coco,2022-07-19,$91 ,135,0.18926553672316385,True,False,False,False,False,False
Beverie Moffet,USA,Raspberry Choco,2022-04-19,"$14,798 ",83,0.11581920903954802,False,False,False,False,False,True
Marney O'Breen,India,85% Dark Bars,2022-07-19,"$2,205 ",179,0.2514124293785311,False,False,True,False,False,False
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,$441 ,24,0.03248587570621469,False,True,False,False,False,False
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,"$3,556 ",18,0.02401129943502825,False,False,False,True,False,False
Brien Boise,Canada,99% Dark & Pure,2022-05-18,"$16,793 ",416,0.5861581920903954,False,True,False,False,False,False
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,"$15,421 ",55,0.07627118644067797,True,False,False,False,False,False
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,"$4,438 ",227,0.3192090395480226,True,False,False,False,False,False
Andria Kimpton,Australia,Drinking Coco,2022-06-28,"$1,603 ",48,0.06638418079096045,True,False,False,False,False,False
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,$273 ,174,0.2443502824858757,True,False,False,False,False,False
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,"$3,073 ",302,0.4251412429378531,False,True,False,False,False,False
Karlen McCaffrey,India,Almond Choco,2022-07-06,"$6,090 ",149,0.20903954802259886,False,False,True,False,False,False
Oby Sorrel,India,99% Dark & Pure,2022-05-27,"$10,255 ",11,0.014124293785310734,False,False,True,False,False,False
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,"$2,030 ",11,0.014124293785310734,True,False,False,False,False,False
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,"$19,453 ",14,0.018361581920903956,True,False,False,False,False,False
Camilla Castle,India,50% Dark Bites,2022-07-04,"$9,275 ",411,0.5790960451977402,False,False,True,False,False,False
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,"$6,181 ",56,0.07768361581920905,False,False,True,False,False,False
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,"$9,037 ",102,0.1426553672316384,False,False,False,False,False,True
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,"$12,313 ",103,0.1440677966101695,False,False,False,False,False,True
Gigi Bohling,UK,Almond Choco,2022-01-10,"$5,642 ",9,0.011299435028248588,False,False,False,False,True,False
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,"$2,800 ",241,0.3389830508474576,False,False,False,True,False,False
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,$959 ,265,0.3728813559322034,False,False,False,True,False,False
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,"$2,002 ",214,0.3008474576271186,False,False,False,False,True,False
Roddy Speechley,Canada,Milk Bars,2022-07-13,$609 ,32,0.043785310734463276,False,True,False,False,False,False
Camilla Castle,USA,Spicy Special Slims,2022-02-11,"$1,274 ",244,0.3432203389830508,False,False,False,False,False,True
Marney O'Breen,USA,Orange Choco,2022-01-27,"$7,595 ",181,0.2542372881355932,False,False,False,False,False,True
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,"$4,725 ",137,0.192090395480226,False,False,False,False,True,False
Camilla Castle,USA,White Choc,2022-08-18,"$9,681 ",24,0.03248587570621469,False,False,False,False,False,True
Andria Kimpton,USA,Raspberry Choco,2022-06-30,"$14,504 ",21,0.02824858757062147,False,False,False,False,False,True
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,$280 ,311,0.4378531073446328,True,False,False,False,False,False
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,$63 ,181,0.2542372881355932,False,False,False,True,False,False
Roddy Speechley,New Zealand,After Nines,2022-05-25,"$8,001 ",10,0.012711864406779662,False,False,False,True,False,False
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,"$4,032 ",82,0.11440677966101695,False,True,False,False,False,False
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,"$5,859 ",108,0.15112994350282485,True,False,False,False,False,False
Karlen McCaffrey,USA,Orange Choco,2022-05-12,"$11,095 ",401,0.5649717514124294,False,False,False,False,False,True
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,"$7,182 ",408,0.5748587570621468,True,False,False,False,False,False
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,"$6,881 ",420,0.5918079096045198,True,False,False,False,False,False
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,"$7,154 ",348,0.4901129943502825,False,True,False,False,False,False
Dennison Crosswaite,UK,Eclairs,2022-03-24,"$6,188 ",270,0.3799435028248588,False,False,False,False,True,False
Madelene Upcott,India,Raspberry Choco,2022-07-07,"$4,221 ",9,0.011299435028248588,False,False,True,False,False,False
Van Tuxwell,USA,After Nines,2022-07-26,$630 ,264,0.3714689265536723,False,False,False,False,False,True
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,"$1,743 ",111,0.1553672316384181,True,False,False,False,False,False
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,"$2,919 ",65,0.0903954802259887,False,True,False,False,False,False
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,$49 ,97,0.13559322033898305,False,False,False,True,False,False
Beverie Moffet,Australia,Eclairs,2022-06-20,"$1,827 ",6,0.007062146892655367,True,False,False,False,False,False
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,"$13,006 ",482,0.6793785310734464,False,False,False,False,True,False
Marney O'Breen,USA,50% Dark Bites,2022-06-15,"$1,064 ",106,0.1483050847457627,False,False,False,False,False,True
Husein Augar,USA,After Nines,2022-04-08,"$11,571 ",180,0.2528248587570621,False,False,False,False,False,True
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,"$5,740 ",31,0.0423728813559322,True,False,False,False,False,False
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,"$1,456 ",359,0.5056497175141242,False,False,False,False,False,True
Kelci Walkden,India,Eclairs,2022-04-19,"$5,334 ",80,0.1115819209039548,False,False,True,False,False,False
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,"$4,151 ",296,0.4166666666666667,False,False,False,False,False,True
Brien Boise,Canada,Spicy Special Slims,2022-03-04,"$8,106 ",101,0.14124293785310735,False,True,False,False,False,False
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,$126 ,40,0.05508474576271186,False,False,False,True,False,False
Husein Augar,UK,Spicy Special Slims,2022-08-25,"$4,697 ",42,0.05790960451977401,False,False,False,False,True,False
Marney O'Breen,USA,Almond Choco,2022-02-25,"$7,798 ",167,0.2344632768361582,False,False,False,False,False,True
Kelci Walkden,India,Orange Choco,2022-06-07,"$9,408 ",138,0.19350282485875706,False,False,True,False,False,False
Jan Morforth,India,Spicy Special Slims,2022-04-12,"$1,939 ",520,0.7330508474576272,False,False,True,False,False,False
Ches Bonnell,India,Spicy Special Slims,2022-07-06,"$10,906 ",94,0.13135593220338984,False,False,True,False,False,False
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,"$5,929 ",175,0.2457627118644068,False,False,False,False,True,False
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,"$5,579 ",92,0.1285310734463277,True,False,False,False,False,False
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,"$10,927 ",141,0.1977401129943503,False,True,False,False,False,False
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,$623 ,283,0.3983050847457627,True,False,False,False,False,False
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,"$6,013 ",21,0.02824858757062147,True,False,False,False,False,False
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,"$1,505 ",47,0.06497175141242938,False,True,False,False,False,False
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,$476 ,125,0.1751412429378531,False,False,True,False,False,False
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,"$11,550 ",396,0.557909604519774,True,False,False,False,False,False
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,"$17,318 ",87,0.12146892655367232,False,False,False,False,False,True
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,"$1,848 ",27,0.03672316384180791,False,True,False,False,False,False
Kelci Walkden,Australia,Eclairs,2022-03-23,"$7,273 ",547,0.7711864406779662,True,False,False,False,False,False
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,$854 ,118,0.1652542372881356,False,True,False,False,False,False
Oby Sorrel,India,Raspberry Choco,2022-04-14,"$6,832 ",46,0.0635593220338983,False,False,True,False,False,False
Kelci Walkden,UK,Eclairs,2022-01-25,"$4,606 ",57,0.07909604519774012,False,False,False,False,True,False
Jan Morforth,India,Almond Choco,2022-03-11,"$4,466 ",22,0.029661016949152543,False,False,True,False,False,False
Dotty Strutley,UK,Almond Choco,2022-07-28,"$16,114 ",96,0.134180790960452,False,False,False,False,True,False
Marney O'Breen,New Zealand,After Nines,2022-03-09,"$1,561 ",44,0.06073446327683616,False,False,False,True,False,False
Husein Augar,Australia,Orange Choco,2022-06-28,"$8,897 ",188,0.2641242937853107,True,False,False,False,False,False
Marney O'Breen,Australia,Milk Bars,2022-07-28,"$2,464 ",387,0.5451977401129944,True,False,False,False,False,False
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,"$4,830 ",50,0.0692090395480226,False,True,False,False,False,False
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,"$2,765 ",264,0.3714689265536723,True,False,False,False,False,False
Beverie Moffet,New Zealand,White Choc,2022-03-24,"$7,126 ",7,0.00847457627118644,False,False,False,True,False,False
Van Tuxwell,UK,Milk Bars,2022-07-25,"$4,263 ",90,0.12570621468926554,False,False,False,False,True,False
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,"$3,605 ",403,0.5677966101694916,False,True,False,False,False,False
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,"$19,929 ",174,0.2443502824858757,False,False,True,False,False,False
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,"$5,103 ",140,0.1963276836158192,False,False,True,False,False,False
Jan Morforth,India,Eclairs,2022-01-05,"$2,541 ",27,0.03672316384180791,False,False,True,False,False,False
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,"$5,663 ",110,0.153954802259887,False,False,False,False,True,False
Wilone O'Kielt,USA,After Nines,2022-04-25,$392 ,30,0.04096045197740113,False,False,False,False,False,True
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,"$10,976 ",121,0.1694915254237288,False,False,False,True,False,False
Barr Faughny,USA,Raspberry Choco,2022-04-12,"$9,282 ",101,0.14124293785310735,False,False,False,False,False,True
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,"$1,827 ",117,0.1638418079096045,False,False,False,True,False,False
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,"$8,267 ",272,0.3827683615819209,False,False,False,True,False,False
Ches Bonnell,Australia,Eclairs,2022-07-05,"$4,116 ",128,0.17937853107344634,True,False,False,False,False,False
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,"$2,093 ",45,0.062146892655367235,False,False,False,True,False,False
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,"$1,015 ",27,0.03672316384180791,False,False,False,True,False,False
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,"$12,516 ",212,0.2980225988700565,True,False,False,False,False,False
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,"$2,758 ",18,0.02401129943502825,True,False,False,False,False,False
Kelci Walkden,India,Almond Choco,2022-03-14,"$3,297 ",149,0.20903954802259886,False,False,True,False,False,False
Camilla Castle,Australia,70% Dark Bites,2022-04-29,"$6,048 ",477,0.672316384180791,True,False,False,False,False,False
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,"$10,101 ",108,0.15112994350282485,False,False,True,False,False,False
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,"$2,282 ",178,0.25,False,False,False,False,True,False
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,"$4,361 ",81,0.11299435028248588,False,False,True,False,False,False
Karlen McCaffrey,UK,Eclairs,2022-01-25,"$7,798 ",196,0.2754237288135593,False,False,False,False,True,False
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,"$3,052 ",447,0.6299435028248588,False,False,True,False,False,False
Gigi Bohling,UK,After Nines,2022-03-29,"$8,029 ",175,0.2457627118644068,False,False,False,False,True,False
Curtice Advani,Australia,Orange Choco,2022-07-12,$854 ,136,0.1906779661016949,True,False,False,False,False,False
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,"$5,460 ",138,0.19350282485875706,False,True,False,False,False,False
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,"$3,017 ",184,0.2584745762711864,False,True,False,False,False,False
Andria Kimpton,USA,85% Dark Bars,2022-04-05,"$8,911 ",82,0.11440677966101695,False,False,False,False,False,True
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,"$7,203 ",12,0.015536723163841809,False,True,False,False,False,False
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,"$13,083 ",14,0.018361581920903956,False,False,False,True,False,False
Mallorie Waber,Australia,Milk Bars,2022-07-29,"$2,779 ",104,0.14548022598870056,True,False,False,False,False,False
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,"$9,058 ",46,0.0635593220338983,False,False,False,False,False,True
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,"$3,549 ",112,0.15677966101694915,False,False,False,False,True,False
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,"$9,436 ",11,0.014124293785310734,False,False,False,True,False,False
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,"$10,283 ",21,0.02824858757062147,False,False,True,False,False,False
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,"$5,446 ",116,0.16242937853107345,False,False,False,True,False,False
Ches Bonnell,Australia,White Choc,2022-03-02,"$1,043 ",202,0.2838983050847458,True,False,False,False,False,False
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,"$12,586 ",6,0.007062146892655367,False,False,False,False,False,True
Kelci Walkden,India,After Nines,2022-01-07,"$1,687 ",520,0.7330508474576272,False,False,True,False,False,False
Brien Boise,UK,White Choc,2022-04-12,"$5,299 ",167,0.2344632768361582,False,False,False,False,True,False
Van Tuxwell,Canada,Almond Choco,2022-06-27,"$3,213 ",72,0.10028248587570622,False,True,False,False,False,False
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,"$5,194 ",418,0.5889830508474576,True,False,False,False,False,False
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,"$4,753 ",389,0.5480225988700564,False,False,False,False,True,False
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,"$13,706 ",26,0.03531073446327684,True,False,False,False,False,False
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,"$6,489 ",146,0.20480225988700565,False,False,True,False,False,False
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,"$9,324 ",41,0.05649717514124294,False,False,False,False,True,False
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,"$10,829 ",54,0.0748587570621469,False,False,False,False,False,True
Barr Faughny,Australia,White Choc,2022-07-04,"$8,113 ",370,0.5211864406779662,True,False,False,False,False,False
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,"$3,269 ",176,0.24717514124293785,False,True,False,False,False,False
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,$273 ,210,0.2951977401129944,False,False,False,False,False,True
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,"$7,287 ",12,0.015536723163841809,True,False,False,False,False,False
Gigi Bohling,India,Raspberry Choco,2022-02-22,"$2,583 ",159,0.2231638418079096,False,False,True,False,False,False
Camilla Castle,UK,White Choc,2022-01-03,"$9,982 ",187,0.2627118644067797,False,False,False,False,True,False
Karlen McCaffrey,India,Drinking Coco,2022-05-31,"$4,795 ",233,0.327683615819209,False,False,True,False,False,False
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,"$9,310 ",282,0.3968926553672316,False,False,False,False,True,False
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,$497 ,475,0.6694915254237288,False,False,False,True,False,False
Barr Faughny,UK,50% Dark Bites,2022-01-28,$581 ,65,0.0903954802259887,False,False,False,False,True,False
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,"$3,472 ",311,0.4378531073446328,True,False,False,False,False,False
Husein Augar,UK,Choco Coated Almonds,2022-03-02,"$4,333 ",43,0.059322033898305086,False,False,False,False,True,False
Wilone O'Kielt,Australia,After Nines,2022-05-27,"$3,325 ",26,0.03531073446327684,True,False,False,False,False,False
Dennison Crosswaite,USA,Almond Choco,2022-06-30,"$11,718 ",84,0.1172316384180791,False,False,False,False,False,True
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,"$2,100 ",78,0.10875706214689265,False,True,False,False,False,False
Kaine Padly,USA,70% Dark Bites,2022-05-12,"$4,018 ",100,0.13983050847457626,False,False,False,False,False,True
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,"$6,468 ",66,0.09180790960451977,False,False,False,True,False,False
Dennison Crosswaite,UK,White Choc,2022-08-03,"$7,238 ",265,0.3728813559322034,False,False,False,False,True,False
Barr Faughny,India,Baker's Choco Chips,2022-08-18,"$6,454 ",141,0.1977401129943503,False,False,True,False,False,False
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,"$3,115 ",42,0.05790960451977401,False,False,False,True,False,False
Beverie Moffet,UK,White Choc,2022-06-30,"$6,475 ",76,0.1059322033898305,False,False,False,False,True,False
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,"$1,162 ",190,0.2669491525423729,False,False,False,True,False,False
Ches Bonnell,UK,Orange Choco,2022-04-27,"$14,238 ",54,0.0748587570621469,False,False,False,False,True,False
Jan Morforth,Australia,White Choc,2022-07-27,"$3,472 ",32,0.043785310734463276,True,False,False,False,False,False
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,"$1,428 ",424,0.597457627118644,False,True,False,False,False,False
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,"$8,064 ",134,0.18785310734463276,False,False,True,False,False,False
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,"$9,660 ",92,0.1285310734463277,True,False,False,False,False,False
Karlen McCaffrey,Australia,White Choc,2022-01-05,"$7,357 ",48,0.06638418079096045,True,False,False,False,False,False
Beverie Moffet,India,Drinking Coco,2022-07-15,"$6,055 ",46,0.0635593220338983,False,False,True,False,False,False
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,"$5,124 ",62,0.08615819209039548,True,False,False,False,False,False
Karlen McCaffrey,Canada,Eclairs,2022-04-20,"$3,479 ",358,0.5042372881355932,False,True,False,False,False,False
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,$784 ,249,0.3502824858757062,False,False,False,False,False,True
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,"$18,991 ",88,0.1228813559322034,False,False,False,False,True,False
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,"$1,372 ",144,0.2019774011299435,False,False,False,True,False,False
Beverie Moffet,Australia,Milk Bars,2022-05-25,$735 ,390,0.5494350282485876,True,False,False,False,False,False
Van Tuxwell,UK,Raspberry Choco,2022-03-16,"$6,538 ",79,0.11016949152542373,False,False,False,False,True,False
Jan Morforth,Australia,Orange Choco,2022-07-04,"$3,199 ",122,0.1709039548022599,True,False,False,False,False,False
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,"$3,472 ",135,0.18926553672316385,False,False,True,False,False,False
Madelene Upcott,USA,After Nines,2022-03-15,"$4,571 ",430,0.6059322033898306,False,False,False,False,False,True
Barr Faughny,UK,Raspberry Choco,2022-08-22,"$5,481 ",69,0.096045197740113,False,False,False,False,True,False
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,"$3,136 ",125,0.1751412429378531,True,False,False,False,False,False
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,$252 ,154,0.21610169491525424,False,False,False,False,True,False
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,"$5,460 ",286,0.4025423728813559,True,False,False,False,False,False
Rafaelita Blaksland,India,Almond Choco,2022-07-27,"$3,395 ",99,0.1384180790960452,False,False,True,False,False,False
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,"$14,938 ",433,0.6101694915254238,False,False,False,False,True,False
Roddy Speechley,India,Orange Choco,2022-06-27,"$4,053 ",19,0.025423728813559324,False,False,True,False,False,False
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,"$5,565 ",258,0.3629943502824859,False,False,False,False,True,False
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,"$7,161 ",92,0.1285310734463277,True,False,False,False,False,False
Madelene Upcott,USA,Eclairs,2022-03-18,"$8,883 ",200,0.2810734463276836,False,False,False,False,False,True
Brien Boise,India,Eclairs,2022-04-29,"$1,351 ",61,0.0847457627118644,False,False,True,False,False,False
Mallorie Waber,New Zealand,White Choc,2022-02-25,"$3,171 ",246,0.346045197740113,False,False,False,True,False,False
Husein Augar,USA,Milk Bars,2022-03-02,$854 ,56,0.07768361581920905,False,False,False,False,False,True
Van Tuxwell,Australia,Milk Bars,2022-06-20,"$7,910 ",87,0.12146892655367232,True,False,False,False,False,False
